"coreid","goodQualityAccessURI","scientificName","caption","comments","tag"
5643711,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_40_Phaeographis_inusta_sq_1720991330.jpg","Phaeographis inusta","hymenial squash in K","","CompoundMicroscopeImage,HasOrganism,SexuallyReproductive"
4910087,"https://lichenportal.org/imglib/lichens/hbKellman/00001/8524_Apothecial_section_X100_1721326567.jpg","Acarospora strigata","apothecial section","","HasOrganism,MacroPhoto"
4910087,"https://lichenportal.org/imglib/lichens/hbKellman/00001/8524_proper_exciple_X600_1721326671.jpg","Acarospora strigata","proper exciple","","HasOrganism,MacroPhoto"
4913162,"https://lichenportal.org/imglib/lichens/hbKellman/00001/habit_4_X403584_1721328801.jpg","Agonimia tristicula","habit","","DissectingMicroscopeImage,HasOrganism,MacroPhoto"
4913162,"https://lichenportal.org/imglib/lichens/hbKellman/00001/9374_X1004096_scaled_1721328853.jpg","Agonimia tristicula","thallus","","CompoundMicroscopeImage,HasOrganism"
4913162,"https://lichenportal.org/imglib/lichens/hbKellman/00001/9374_spiky_spheres_X6004096_sc_1721328916.jpg","Agonimia tristicula","thallus","","CompoundMicroscopeImage,HasOrganism"
5643875,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL016/SEDONA_1283_Placidium_lancinul_1721336368.jpg","Placidium lacinulatum var. lacinulatum","Placidium lancinulatum var. lancinulatum  (Neil 1003  SEDONA_1283)","","HasOrganism"
5643999,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL016/SEDONA_1284_Sarcogyne_desolata_1721513468.jpg","Sarcogyne desolata","Sarcogyne desolata (Neil 1004 SEDONA_1284","","HasOrganism"
5644003,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL016/SEDONA_1285_Sarcogyne_desolata_1721515769.jpg","Sarcogyne desolata","Sarcogyne desolata (Neil 1005 SEDONA_1285)","","HasOrganism"
5644004,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_41_Leiorreuma_sericeum_1721576065.jpg","Leiorreuma sericeum","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644004,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_41_Leiorreuma_sericeum_li_1721576114.jpg","Leiorreuma sericeum","Lirellae","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644005,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_42_Leiorreuma_sericeum_1721578780.jpg","Leiorreuma sericeum","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644005,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_42_Leiorreuma_sericeum_se_1721578817.jpg","Leiorreuma sericeum","Lirella section in water","","CompoundMicroscopeImage,HasOrganism"
5644006,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_43_Leiorreuma_sericium_1721579716.jpg","Leiorreuma sericeum","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644006,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_43_Leiorreuma_sericium_li_1721579758.jpg","Leiorreuma sericeum","Lirellae","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644007,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_44_Arthonia_susa_1721582851.jpg","Arthonia susa","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644007,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_44_thallus_1721582883.jpg","Arthonia susa","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644007,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_44_section_3_1721582947.jpg","Arthonia susa","Ascomatal section in water with spore-laden asci and photobiont cells","","CompoundMicroscopeImage,Diagnostic,HasOrganism"
5644008,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_45_Graphis_scripta_1721585904.jpg","Graphis scripta","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644008,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_45_Graphis_scripta_lirell_1721585944.jpg","Graphis scripta","Lirellae","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644008,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_45_Graphis_scripta_sectio_1721585995.jpg","Graphis scripta","Lirella section in water","","CompoundMicroscopeImage,Diagnostic,HasOrganism"
5644009,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_46_Phaeographis_erumpens_1721587919.jpg","Phaeographis erumpens","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644009,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_46_Phaeographis_erumpens__1721587953.jpg","Phaeographis erumpens","Lirellae","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5644009,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_46_Phaeographis_erumpens__1721587997.jpg","Phaeographis erumpens","Lirella section in water","","CompoundMicroscopeImage,Diagnostic,HasOrganism,SexuallyReproductive"
5644011,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_47_Candelariella_1721589264.jpg","Candelariella xanthostigmoides","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644011,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_47_Candelariella_2_1721589300.jpg","Candelariella xanthostigmoides","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5644012,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_48_Punctelia_1721590356.jpg","Punctelia rudecta","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644015,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Sorrie_and_Dill_Canoparmelia_t_1721659660.jpg","Canoparmelia texana","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5644016,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_50_Canoparmelia_1721661949.jpg","Canoparmelia texana","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644017,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_51_Leiorreuma_explicans_1721663934.jpg","Leiorreuma explicans","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5644017,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_51_Leiorreuma_explicans_2_1721664025.jpg","Leiorreuma explicans","Lirellae","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
37968,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL017/ASUL017012_02_print_med.jpg","Arthopyrenia rhyponta","","","HasOrganism"
48891,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL033/ASUL033136_04_print_med.jpg","Candelaria concolor","","","HasOrganism"
53919,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL008/ASUL008945_03_print_med.jpg","Arctoparmelia subcentrifuga","","","HasOrganism"
46055,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL033/ASUL033127_03_print_med.jpg","Candelaria concolor","","","HasOrganism"
40681,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL046/ASUL046499_02_print_med.jpg","Chromatochlamys muscorum","","","HasOrganism"
48041,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL014/ASUL014023_02_print_med.jpg","Bryoria simplicior","","","HasOrganism"
57905,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL032/ASUL032577_02_print_med.jpg","Candelaria pacifica","","","HasOrganism"
51207,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL034/ASUL034700_02_print_med.jpg","Canoparmelia crozalsiana","","","HasOrganism"
106800,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL034/ASUL034702_02_print_med.jpg","Canoparmelia texana","","","HasOrganism"
38087,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL017/ASUL017760_02_print_med.jpg","Bryoria chalybeiformis","","","HasOrganism"
70792,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL017/ASUL017782_02_print_med.jpg","Bryoria fuscescens","","","HasOrganism"
55344,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL033/ASUL033161_02_print_med.jpg","Candelaria fibrosa","","","HasOrganism"
104353,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL034/ASUL034949_03_print_med.jpg","Catapyrenium psoromoides","","","HasOrganism"
74065,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL018/ASUL018952_04_print_med.jpg","Candelina submexicana","","","HasOrganism"
707152,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL020/ASUL020616_03_print_med.jpg","Candelina submexicana","","","HasOrganism"
123378,"https://lichenportal.org/imglib/lichens/ASU_Lichens/ASUL032/ASUL032514_02_print_med.jpg","Candelaria concolor","","","HasOrganism"
